geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70311E+14,17,31,63100,2,41.9399,-87.6447,12568
1.70317E+14,17,31,691500,1,41.7582,-87.604,12569
1.70318E+14,17,31,836600,2,41.8993,-87.7116,12570
1.70312E+14,17,31,171000,6,41.9381,-87.8054,12571
1.70312E+14,17,31,190402,1,41.9366,-87.7699,12572
1.70318E+14,17,31,830500,3,41.8351,-87.7171,12573
1.70318E+14,17,31,842300,2,41.8964,-87.6548,12574
1.70313E+14,17,31,310200,2,41.8557,-87.6464,12575
1.7031E+14,17,31,10201,2,42.0146,-87.6779,12576
1.70311E+14,17,31,62100,3,41.9413,-87.6495,12577
1.70312E+14,17,31,151002,3,41.946,-87.751,12578
1.70316E+14,17,31,630600,1,41.801,-87.7036,12579
1.70314E+14,17,31,351000,3,41.8338,-87.6125,12580
1.70312E+14,17,31,160800,3,41.9466,-87.7157,12581
1.70313E+14,17,31,280400,1,41.8853,-87.6696,12582
